run_id,run_name,dataset,model,gnn_type,hidden_channels,num_layers,lr,weight_decay,batch_size,singletons_only,loss_ablation,use_bce_loss,use_mr_loss,use_ms_loss,train_loss,train_bce,train_mr,train_ms,train_acc,val_loss,val_f1,val_auroc_entropy,test_acc_id,test_auroc_entropy,epoch,num_id_classes,focal_strategy,num_output_heads,ablation_group
wlwn3rmy,run-20260404_180410-wlwn3rmy,chameleon,random_set,GAT,128,3,0.036173528225915776,0.041991637825570555,-1,False,full,False,False,False,0.591640830039978,0.5913152098655701,0.09453742206096649,,0.372488409280777,0.5900760889053345,0.4063926935195923,0.5,0.3695652186870575,0.5,55.0,3,full_power_set,7,standard_focal_sets__full
301kljdr,run-20260404_180426-301kljdr,chameleon,random_set,GAT,64,2,0.09844803210540928,0.0554257342184539,-1,False,full,False,False,False,0.6140827536582947,0.6136508584022522,0.12646141648292542,,0.372488409280777,0.6128783226013184,0.4063926935195923,0.4818175137042999,0.3695652186870575,0.4348228871822357,54.0,3,full_power_set,7,standard_focal_sets__full
j6iqlq59,run-20260404_180447-j6iqlq59,chameleon,random_set,GAT,64,2,0.047825003156076226,0.04180767101341769,-1,False,full,False,False,False,0.5912566184997559,0.5909329056739807,0.0931893065571785,,0.372488409280777,0.5895360708236694,0.4063926935195923,0.768151044845581,0.3695652186870575,0.7648047804832458,56.0,3,full_power_set,7,standard_focal_sets__full
rgzoal8o,run-20260404_180508-rgzoal8o,chameleon,random_set,GAT,64,2,0.04586524358665115,0.08783194897869147,-1,False,full,False,False,False,0.6328074932098389,0.6322994828224182,0.15159767866134644,,0.372488409280777,0.6320096254348755,0.4063926935195923,0.5,0.3695652186870575,0.5,69.0,3,full_power_set,7,standard_focal_sets__full
0blo9sno,run-20260404_180530-0blo9sno,chameleon,random_set,GAT,256,2,0.012636054880124236,0.034176702186112635,-1,False,full,False,False,False,0.5719130635261536,0.5716986656188965,0.05473586171865463,,0.372488409280777,0.5695515871047974,0.4063926935195923,0.8401669263839722,0.3695652186870575,0.8264291286468506,58.0,3,full_power_set,7,standard_focal_sets__full
84mm5xzn,run-20260404_180556-84mm5xzn,chameleon,random_set,GAT,256,3,0.09355370212317658,0.07987282709922874,-1,False,full,False,False,False,0.6298394799232483,0.6293429136276245,0.14706388115882874,,0.372488409280777,0.6292021870613098,0.4063926935195923,0.5,0.3695652186870575,0.5,52.0,3,full_power_set,7,standard_focal_sets__full
fxtibs3n,run-20260404_180623-fxtibs3n,chameleon,random_set,GAT,64,3,0.001179875591523431,0.07786757532588949,-1,False,full,False,False,False,0.6400569677352905,0.6395137906074524,0.1562582403421402,,0.372488409280777,0.6393437385559082,0.4063926935195923,0.5136986374855042,0.3695652186870575,0.5090579986572266,176.0,3,full_power_set,7,standard_focal_sets__full
yac7ma2p,run-20260404_180651-yac7ma2p,chameleon,random_set,GAT,256,3,0.08074434249366283,0.05794161020790649,-1,False,full,False,False,False,0.6144985556602478,0.6140652298927307,0.12856897711753845,,0.372488409280777,0.6133986115455627,0.4063926935195923,0.5141341090202332,0.3695652186870575,0.5065217018127441,52.0,3,full_power_set,7,standard_focal_sets__full
5iz3phgy,run-20260404_180713-5iz3phgy,chameleon,random_set,GAT,256,3,0.07627605205902413,0.005480599786938269,-1,False,full,False,False,False,0.20301569998264313,0.20297089219093323,0.020249532535672188,,0.8485316634178162,0.5995594263076782,0.5273972749710083,0.4840967059135437,0.5471014380455017,0.4853764474391937,142.0,3,full_power_set,7,standard_focal_sets__full
33j0p085,run-20260404_180755-33j0p085,chameleon,random_set,GAT,64,2,0.02119714041599038,0.00561820190416361,-1,False,full,False,False,False,0.18336836993694305,0.183324933052063,0.024564692750573158,,0.8763523697853088,0.6298143863677979,0.5456621050834656,0.4896828830242157,0.5652173757553101,0.5171396732330322,60.0,3,full_power_set,7,standard_focal_sets__full
